date,n1,n2,n3,n4,n5,n6
2021-07-11,9,4,33,32,40,31
2021-07-14,13,33,7,56,24,50
2021-07-17,1,16,10,20,5,7
2021-07-20,20,18,43,56,42,49
2021-07-23,25,39,45,38,17,6
2021-07-26,35,2,22,56,53,14
2021-07-29,44,5,41,19,54,33
2021-08-01,7,30,5,33,31,49
2021-08-04,48,51,19,43,10,41
2021-08-07,35,3,26,58,30,17
2021-08-10,40,26,13,37,23,28
2021-08-13,39,50,3,56,34,12
2021-08-16,20,41,40,52,2,43
2021-08-19,53,56,35,32,45,55
2021-08-22,45,9,28,40,31,30
2021-08-25,36,59,31,51,10,33
2021-08-28,8,22,57,17,53,3
2021-08-31,14,36,8,13,50,48
2021-09-03,27,41,24,36,26,46
2021-09-06,58,1,59,46,8,54
2021-09-09,26,53,49,18,23,31
2021-09-12,10,50,16,36,49,20
2021-09-15,50,55,13,39,59,25
2021-09-18,43,2,28,41,53,10
2021-09-21,40,7,44,15,49,4
2021-09-24,33,53,12,15,25,11
2021-09-27,45,41,20,7,42,31
2021-09-30,21,18,5,22,14,16
2021-10-03,31,27,39,14,13,33
2021-10-06,43,36,24,52,42,17
2021-10-09,41,37,50,4,5,6
2021-10-12,37,59,41,56,30,5
2021-10-15,59,28,54,39,36,17
2021-10-18,48,11,7,8,26,42
2021-10-21,44,56,7,38,10,13
2021-10-24,27,53,19,16,22,21
2021-10-27,7,56,53,21,35,13
2021-10-30,22,31,10,9,55,43
2021-11-02,25,43,2,22,15,17
2021-11-05,17,3,41,52,32,18
2021-11-08,15,20,4,57,36,29
2021-11-11,14,42,3,7,12,11
2021-11-14,2,1,46,11,27,54
2021-11-17,7,39,12,48,37,38
2021-11-20,19,1,36,51,44,18
2021-11-23,55,23,51,24,33,41
2021-11-26,5,37,43,35,6,18
2021-11-29,44,8,28,38,32,58
2021-12-02,27,40,39,36,51,55
2021-12-05,35,24,8,30,12,42
2021-12-08,36,35,31,41,55,30
2021-12-11,29,42,53,46,1,38
2021-12-14,7,14,10,16,49,50
2021-12-17,35,2,48,4,32,8
2021-12-20,58,10,25,2,44,11
2021-12-23,24,59,42,1,40,35
2021-12-26,31,12,10,39,11,36
2021-12-29,8,14,10,53,4,45
2022-01-01,42,1,53,31,30,18
2022-01-04,25,48,20,6,46,49
2022-01-07,25,37,53,35,56,52
2022-01-10,57,29,7,15,33,23
2022-01-13,48,9,25,38,7,56
2022-01-16,19,35,54,37,2,41
2022-01-19,44,14,36,4,29,8
2022-01-22,7,56,47,40,45,59
2022-01-25,35,13,55,2,34,16
2022-01-28,11,54,18,19,28,10
2022-01-31,19,45,23,15,51,38
2022-02-03,1,46,5,55,43,7
2022-02-06,46,27,12,37,36,1
2022-02-09,47,26,49,41,27,14
2022-02-12,11,5,4,28,42,8
2022-02-15,9,55,54,30,20,52
2022-02-18,40,13,57,52,48,19
2022-02-21,8,34,46,57,37,4
2022-02-24,47,59,22,2,41,28
2022-02-27,12,31,20,49,50,8
2022-03-02,27,51,58,19,8,47
2022-03-05,57,39,14,46,34,31
2022-03-08,30,44,12,50,37,17
2022-03-11,21,7,45,42,30,52
2022-03-14,25,38,7,50,44,11
2022-03-17,39,15,28,47,27,38
2022-03-20,7,9,51,4,11,24
2022-03-23,25,22,19,14,6,44
2022-03-26,31,2,44,38,20,15
2022-03-29,5,16,49,29,4,36
2022-04-01,30,27,52,3,19,59
2022-04-04,51,6,45,21,49,16
2022-04-07,13,33,12,40,5,55
2022-04-10,40,38,30,3,42,18
2022-04-13,11,29,18,13,45,1
2022-04-16,44,21,28,6,5,57
2022-04-19,39,21,55,19,53,10
2022-04-22,34,19,47,36,40,26
2022-04-25,34,20,52,55,8,28
2022-04-28,15,26,7,10,42,31
2022-05-01,33,31,17,35,13,47
2022-05-04,48,19,49,7,9,39
2022-05-07,41,34,36,40,57,9
2022-05-10,1,53,54,35,50,15
2022-05-13,43,53,59,50,12,48
2022-05-16,19,51,55,32,28,11
2022-05-19,32,47,58,49,3,8
2022-05-22,22,41,7,21,34,43
2022-05-25,13,50,42,44,24,10
2022-05-28,1,14,37,2,41,31
2022-05-31,27,1,9,58,23,37
2022-06-03,16,20,34,26,22,8
2022-06-06,42,57,38,31,14,50
2022-06-09,42,15,54,32,2,41
2022-06-12,25,7,12,36,11,35
2022-06-15,11,40,57,48,44,25
2022-06-18,58,59,57,5,25,32
2022-06-21,31,41,10,28,54,2
2022-06-24,43,3,10,45,53,21
2022-06-27,16,57,33,21,23,27
2022-06-30,59,4,23,48,54,50
2022-07-03,46,53,57,7,17,32
2022-07-06,26,35,46,32,30,14
2022-07-09,3,38,43,10,35,46
2022-07-12,19,45,41,53,47,36
2022-07-15,42,51,18,27,14,36
2022-07-18,48,35,1,27,4,54
2022-07-21,17,4,46,35,52,19
2022-07-24,59,26,36,9,45,55
2022-07-27,48,32,57,49,27,36
2022-07-30,37,42,57,23,4,5
2022-08-02,34,35,8,4,37,56
2022-08-05,20,38,45,23,16,5
2022-08-08,40,49,59,5,1,37
2022-08-11,28,26,7,43,30,17
2022-08-14,48,10,45,16,5,50
2022-08-17,31,35,42,21,49,53
2022-08-20,35,51,28,30,44,25
2022-08-23,50,8,6,17,57,30
2022-08-26,57,21,30,33,12,55
2022-08-29,8,20,26,39,5,38
2022-09-01,46,37,47,18,43,11
2022-09-04,58,51,10,26,16,3
2022-09-07,43,30,42,7,50,35
2022-09-10,44,34,41,42,27,21
2022-09-13,45,17,59,41,18,8
2022-09-16,14,5,46,30,2,35
2022-09-19,53,25,7,17,55,29
2022-09-22,55,52,51,58,57,22
2022-09-25,30,39,28,29,19,36
2022-09-28,1,39,10,12,26,38
2022-10-01,37,14,50,40,55,38
2022-10-04,32,16,38,15,2,49
2022-10-07,34,6,52,47,31,48
2022-10-10,4,26,52,43,45,51
2022-10-13,57,28,29,40,37,47
2022-10-16,53,54,15,56,44,29
2022-10-19,34,54,35,55,51,42
2022-10-22,5,21,11,29,55,7
2022-10-25,35,19,5,54,26,39
2022-10-28,51,16,21,5,31,56
2022-10-31,5,47,23,8,26,55
2022-11-03,25,14,31,2,36,22
2022-11-06,26,8,30,9,59,41
2022-11-09,53,12,37,25,33,23
2022-11-12,25,8,23,2,53,45
2022-11-15,39,13,29,10,33,49
2022-11-18,11,54,24,40,21,39
2022-11-21,1,59,9,4,30,21
2022-11-24,18,4,51,30,39,32
2022-11-27,26,38,25,40,37,55
2022-11-30,15,17,43,11,35,13
2022-12-03,48,34,30,39,44,46
2022-12-06,11,31,56,5,15,18
2022-12-09,44,27,42,13,59,10
2022-12-12,36,8,46,2,10,7
2022-12-15,19,20,24,31,4,47
2022-12-18,58,50,23,53,28,7
2022-12-21,15,47,11,17,34,18
2022-12-24,14,50,10,43,31,54
2022-12-27,38,27,39,7,23,57
2022-12-30,6,16,58,40,3,19
2023-01-02,35,18,32,11,57,47
2023-01-05,39,30,40,23,32,59
2023-01-08,57,22,5,3,42,16
2023-01-11,15,7,25,18,48,17
2023-01-14,34,54,49,45,28,33
2023-01-17,53,13,24,41,37,46
2023-01-20,40,37,19,38,30,12
2023-01-23,59,5,39,31,11,46
2023-01-26,57,34,51,39,41,30
2023-01-29,54,3,17,42,38,1
2023-02-01,5,14,26,16,36,34
2023-02-04,54,26,44,24,2,18
2023-02-07,22,5,10,3,42,40
2023-02-10,14,22,10,57,58,53
2023-02-13,29,19,14,50,54,16
2023-02-16,30,48,49,57,27,21
2023-02-19,49,3,16,23,58,52
2023-02-22,10,22,32,30,26,49
2023-02-25,54,22,12,29,34,50
2023-02-28,45,6,56,54,14,15
2023-03-03,32,59,16,23,46,57
2023-03-06,57,16,14,30,59,49
2023-03-09,23,10,5,54,43,30
2023-03-12,27,47,13,6,50,29
2023-03-15,29,10,43,38,23,57
2023-03-18,34,42,4,26,17,56
2023-03-21,53,41,26,55,20,12
2023-03-24,57,27,53,21,56,26
2023-03-27,12,47,24,51,38,26
2023-03-30,40,44,32,34,53,31
2023-04-02,12,13,3,9,53,34
2023-04-05,14,6,1,24,2,53
2023-04-08,24,33,39,17,53,11
